location,property_type,bedrooms,bathrooms,house_size,floor,total_floors,furnished,parking,balcony,age,monthly_rent
Bashundhara,Duplex,4,4,1800,4,4,No,No,Yes,1,68500
Mohammadpur,House,4,4,1289,1,5,Yes,Yes,Yes,1,49000
Banani,Apartment,3,2,1267,4,6,No,Yes,Yes,30,48500
Mohammadpur,Apartment,3,3,1330,8,8,No,Yes,Yes,4,38000
Bashundhara,Apartment,3,3,1385,4,12,Yes,No,Yes,1,61000
Uttara,Apartment,3,3,1363,5,6,No,No,Yes,2,43500
Bashundhara,Apartment,3,3,1049,2,10,No,Yes,Yes,0,45000
Jatrabari,House,5,5,1192,5,6,No,No,Yes,2,29500
Bashundhara,Apartment,4,3,1561,1,9,No,Yes,No,3,52000
Mohakhali,Apartment,3,2,1032,2,5,No,Yes,Yes,10,36500
Uttara,Apartment,3,3,1213,7,7,Yes,Yes,Yes,12,43000
Gulshan,Apartment,3,2,968,1,6,No,Yes,Yes,12,51000
Mohammadpur,Apartment,3,3,1034,7,8,Yes,Yes,Yes,3,42000
Bashundhara,Apartment,3,2,859,6,6,No,Yes,Yes,5,36500
Gulshan,Apartment,3,3,1389,7,9,No,Yes,Yes,5,70500
Uttara,Studio,1,1,391,2,6,No,No,No,2,14500
Mirpur,Studio,1,1,490,2,5,No,Yes,No,21,12500
Gulshan,Apartment,2,3,876,3,6,No,Yes,No,6,48000
Mohammadpur,Apartment,3,2,1010,5,8,No,Yes,Yes,2,35500
Bashundhara,Apartment,3,3,1132,9,10,No,No,No,6,38000
Banani,Apartment,2,2,1070,4,7,No,Yes,Yes,2,55500
Banani,Apartment,3,3,1073,2,7,No,No,Yes,4,45000
Khilgaon,Apartment,3,2,1003,4,9,No,No,Yes,4,24000
Uttara,Apartment,3,2,1383,2,10,No,No,Yes,0,45500
Badda,Apartment,3,2,1118,3,4,Yes,Yes,Yes,2,43000
Mirpur,Apartment,3,2,1165,1,4,No,No,Yes,6,25500
Mirpur,House,4,4,1604,3,4,Yes,No,No,7,50000
Gulshan,Apartment,3,3,1188,4,5,No,Yes,Yes,7,67500
Mirpur,Apartment,3,2,982,6,12,Yes,No,Yes,3,33500
Mirpur,Apartment,2,1,752,2,5,Yes,Yes,Yes,1,30000
Badda,Apartment,3,2,1001,4,4,Yes,No,Yes,7,34500
Dhanmondi,Duplex,6,7,2568,5,5,No,Yes,Yes,14,111000
Uttara,Apartment,2,3,1103,2,9,Yes,No,No,2,48500
Dhanmondi,Studio,1,1,446,1,7,No,Yes,Yes,4,20500
Banani,Apartment,3,3,1303,8,8,No,No,Yes,1,54500
Mirpur,House,3,3,1037,5,8,No,Yes,Yes,2,32500
Mohakhali,Apartment,3,3,1523,3,7,No,Yes,Yes,4,53000
Gulshan,Apartment,3,2,1265,2,6,No,Yes,Yes,6,71000
Uttara,House,4,4,1650,5,5,No,No,Yes,14,52000
Bashundhara,Studio,1,1,357,8,8,Yes,No,Yes,4,18500
Dhanmondi,Apartment,3,2,1359,6,8,Yes,Yes,Yes,4,63500
Mohakhali,Apartment,2,1,687,3,9,No,No,Yes,0,22500
Uttara,Apartment,2,2,1333,5,6,No,No,Yes,6,42000
Uttara,House,3,3,1692,5,8,No,Yes,Yes,21,51000
Khilgaon,Duplex,5,6,2630,2,5,No,Yes,Yes,1,63500
Mirpur,Apartment,1,1,692,5,5,No,No,Yes,16,15000
Bashundhara,House,3,3,1458,6,6,No,No,Yes,16,47000
Uttara,Apartment,4,3,1426,3,6,No,No,Yes,25,38500
Bashundhara,Apartment,3,3,1040,3,7,No,Yes,Yes,6,41500
Mirpur,Duplex,6,7,2479,1,7,No,No,Yes,3,63500
Mohammadpur,Apartment,4,4,1446,5,6,No,No,No,10,37000
Gulshan,Apartment,3,3,1218,2,10,No,Yes,No,1,70000
Mohammadpur,Apartment,2,1,797,2,6,No,No,Yes,1,22000
Dhanmondi,Apartment,4,3,1624,6,7,No,Yes,Yes,6,63000
Mohammadpur,House,4,4,1397,8,8,No,No,No,5,36000
Dhanmondi,Duplex,5,5,2183,6,12,No,No,Yes,5,100500
Mohakhali,Apartment,2,2,1145,2,6,No,Yes,No,0,41000
Bashundhara,Apartment,3,2,1331,1,6,Yes,Yes,Yes,0,52500
Uttara,Apartment,4,4,1800,4,4,No,Yes,No,0,60500
Uttara,Apartment,3,3,1181,2,6,Yes,Yes,Yes,8,54000
Mirpur,Apartment,3,2,1343,4,7,No,Yes,Yes,1,33000
Uttara,Apartment,4,4,1567,2,7,No,No,Yes,6,52000
Uttara,Apartment,3,2,1375,6,6,Yes,Yes,Yes,17,52500
Bashundhara,Duplex,5,5,2303,4,6,Yes,No,Yes,8,104000
Badda,Apartment,2,3,1149,6,7,No,Yes,Yes,0,31500
Gulshan,Apartment,2,2,1117,2,4,Yes,No,No,1,65500
Mohakhali,Apartment,3,2,1210,3,14,No,Yes,No,4,36500
Gulshan,Duplex,5,6,2246,8,8,No,Yes,Yes,6,120000
Mohammadpur,Duplex,5,5,2271,6,6,No,Yes,Yes,2,79500
Dhanmondi,Apartment,1,1,766,5,8,No,No,Yes,10,27500
Jatrabari,Apartment,2,2,1124,7,7,No,Yes,Yes,4,22500
Mirpur,Apartment,3,2,1227,4,5,No,Yes,Yes,23,28000
Khilgaon,Apartment,2,2,929,7,7,No,No,Yes,1,19000
Dhanmondi,Apartment,2,2,921,6,7,No,No,Yes,8,34000
Badda,Studio,1,1,536,8,10,No,Yes,Yes,6,17000
Uttara,Apartment,2,2,1156,8,9,Yes,Yes,Yes,2,46500
Badda,Duplex,6,7,2146,4,10,No,No,Yes,1,60000
Dhanmondi,Apartment,2,2,1086,4,9,No,No,No,3,43000
Bashundhara,Apartment,3,3,923,1,4,No,Yes,Yes,1,38500
Gulshan,House,4,4,2273,6,6,No,Yes,Yes,11,109000
Mohammadpur,Apartment,3,2,1302,3,5,No,No,No,6,32000
Dhanmondi,Apartment,2,1,799,8,14,No,Yes,Yes,0,34500
Mohakhali,Studio,1,1,387,7,12,No,No,No,1,13000
Mirpur,Apartment,3,3,913,1,7,No,Yes,Yes,1,25500
Bashundhara,Apartment,3,2,1175,1,6,Yes,Yes,Yes,1,54000
Bashundhara,Apartment,2,3,1223,2,9,No,Yes,Yes,0,50000
Uttara,Studio,1,1,452,1,10,No,No,No,6,14000
Khilgaon,House,3,3,1587,2,6,No,No,Yes,4,34500
Gulshan,Apartment,3,2,1237,2,7,No,Yes,No,0,65500
Uttara,Apartment,3,2,895,2,8,No,No,Yes,4,31500
Banani,Apartment,3,3,1438,1,8,No,Yes,Yes,14,63500
Uttara,Studio,1,1,458,4,7,Yes,No,No,3,21500
Mohammadpur,Apartment,4,3,1618,4,6,No,No,Yes,5,43000
Gulshan,Apartment,2,2,1340,6,10,No,No,Yes,3,65000
Mohammadpur,Studio,1,1,423,4,7,Yes,No,Yes,8,19000
Bashundhara,Apartment,4,3,1652,3,7,No,No,Yes,0,61500
Uttara,House,4,4,2042,7,7,Yes,Yes,No,6,71500
Gulshan,Apartment,3,2,1322,5,9,No,No,Yes,13,66000
Mohammadpur,Apartment,2,3,1393,8,8,No,Yes,Yes,20,36000
Mohakhali,Apartment,3,2,844,1,5,No,No,Yes,1,29500
Dhanmondi,Studio,1,1,493,3,6,No,No,Yes,3,22000
Mirpur,Apartment,3,3,908,3,6,Yes,No,Yes,3,32000
Badda,Apartment,3,2,1201,6,9,No,Yes,Yes,7,27500
Uttara,Apartment,3,3,1263,10,12,No,Yes,Yes,2,44000
Gulshan,Apartment,4,4,2213,1,6,Yes,Yes,Yes,3,126000
Mohakhali,House,3,2,1237,4,7,No,No,Yes,1,42500
Uttara,Apartment,3,3,942,3,5,Yes,Yes,Yes,0,47000
Mohakhali,Apartment,3,3,1937,1,4,No,Yes,Yes,8,56000
Mirpur,Duplex,4,5,2165,5,5,No,No,Yes,4,57500
Mohakhali,Apartment,3,3,1464,6,6,No,Yes,No,0,51000
Mohammadpur,Apartment,4,3,1449,1,6,Yes,No,Yes,5,50500
Mohammadpur,House,4,4,1210,4,5,No,Yes,Yes,6,38000
Gulshan,Apartment,1,1,640,6,12,Yes,No,Yes,11,39000
Uttara,Duplex,6,6,3104,5,6,No,Yes,Yes,6,117500
Mohammadpur,Apartment,3,2,1066,4,7,Yes,No,Yes,9,36500
Banani,House,3,2,1156,4,7,No,Yes,Yes,4,67000
Dhanmondi,Studio,1,1,350,6,6,Yes,No,No,6,18500
Mohammadpur,Apartment,3,2,1245,2,12,Yes,Yes,Yes,2,50500
Mohakhali,Duplex,6,6,2440,2,5,No,No,Yes,3,88500
Uttara,Apartment,3,3,1339,2,5,No,Yes,Yes,17,44000
Dhanmondi,Apartment,3,3,1270,2,7,No,No,Yes,7,51000
Mirpur,Apartment,3,2,1016,1,6,Yes,Yes,Yes,1,39500
Gulshan,House,3,3,1700,7,14,Yes,No,Yes,0,108000
Uttara,Apartment,3,2,1059,5,5,No,No,Yes,3,37000
Mirpur,Apartment,2,3,1129,7,7,No,No,Yes,0,24500
Mirpur,Apartment,3,2,1025,4,14,Yes,Yes,Yes,6,39000
Dhanmondi,Apartment,3,2,1301,4,5,No,Yes,Yes,5,54000
Banani,House,4,4,1579,3,6,No,Yes,Yes,4,89000
Bashundhara,Apartment,3,2,1103,1,8,No,Yes,Yes,1,39000
Bashundhara,Apartment,3,2,945,1,5,No,No,No,0,30000
Mohammadpur,Apartment,3,3,1515,5,6,No,No,Yes,7,41000
Gulshan,Apartment,3,4,1544,1,5,No,Yes,Yes,0,75500
Mirpur,Apartment,4,3,1415,3,4,No,No,Yes,5,31000
Mirpur,House,5,4,1823,2,6,Yes,Yes,Yes,0,72500
Mohammadpur,Apartment,1,1,555,5,14,Yes,No,Yes,4,22000
Mirpur,Apartment,2,1,604,2,6,No,No,Yes,0,17500
Banani,Apartment,3,2,1182,5,6,No,Yes,Yes,10,63000
Mohakhali,Studio,1,1,389,1,4,Yes,Yes,No,6,19500
Mohammadpur,Apartment,3,2,938,2,4,Yes,No,No,5,36500
Bashundhara,Apartment,3,2,1171,2,4,No,Yes,No,4,42000
Uttara,Apartment,3,3,1378,1,6,No,Yes,Yes,11,44000
Dhanmondi,Apartment,3,3,860,4,5,No,No,Yes,7,36500
Mohakhali,Apartment,3,2,1363,7,10,No,Yes,No,3,41500
Khilgaon,Apartment,3,3,1519,2,6,No,No,Yes,10,32000
Uttara,Duplex,4,4,2530,1,12,No,No,Yes,4,73500
Mohammadpur,Apartment,2,1,663,2,5,No,Yes,No,7,23500
Banani,Apartment,3,2,856,4,10,No,No,No,7,41000
Mohakhali,Duplex,4,4,1852,1,4,No,No,Yes,0,58000
Mirpur,Apartment,4,4,1545,3,10,No,Yes,Yes,4,43000
Dhanmondi,Apartment,3,2,1140,4,10,Yes,No,Yes,0,55500
Mohammadpur,Apartment,3,2,1036,1,7,No,Yes,Yes,1,31000
Gulshan,Apartment,4,3,1454,11,12,No,No,Yes,1,77500
Banani,Studio,1,1,297,8,9,No,No,No,4,15500
Mohammadpur,Apartment,3,2,851,1,5,No,No,Yes,0,27000
Mirpur,Apartment,2,2,1128,2,14,Yes,Yes,Yes,4,39000
Uttara,Apartment,3,2,1262,7,8,No,Yes,Yes,8,40500
Banani,House,4,4,1985,4,7,No,Yes,Yes,0,109500
Jatrabari,Apartment,3,2,1160,4,8,No,No,Yes,6,23000
Dhanmondi,Apartment,4,4,1757,5,9,Yes,No,Yes,2,75500
Mirpur,Apartment,3,3,1289,2,6,No,Yes,Yes,6,36000
Mohakhali,Apartment,3,3,1388,1,12,Yes,Yes,Yes,5,53000
Banani,Apartment,3,2,1073,5,8,No,Yes,Yes,6,56000
Mirpur,Apartment,4,3,1481,1,4,Yes,No,Yes,3,45000
Mohakhali,Apartment,3,3,1421,1,6,Yes,No,Yes,14,43500
Mirpur,Apartment,2,2,1279,4,5,No,Yes,Yes,1,32000
Mohammadpur,Apartment,3,3,1411,5,9,No,No,Yes,1,39000
Gulshan,Apartment,3,2,1330,1,5,Yes,Yes,Yes,16,67000
Dhanmondi,Apartment,3,2,1195,6,9,No,Yes,Yes,9,45000
Mohakhali,Apartment,3,2,852,3,7,Yes,No,No,5,37000
Uttara,Apartment,3,2,982,3,7,No,No,Yes,13,29500
Uttara,Studio,1,1,444,3,6,No,No,No,2,15000
Dhanmondi,Apartment,3,3,1008,7,9,Yes,Yes,Yes,2,50000
Dhanmondi,Apartment,2,2,1369,4,4,Yes,Yes,No,5,65500
Gulshan,Apartment,3,2,1274,1,6,No,Yes,No,3,61500
Uttara,Apartment,1,1,798,14,16,Yes,Yes,No,4,35000
Bashundhara,Studio,1,1,370,2,12,No,Yes,Yes,6,20000
Gulshan,Apartment,3,2,902,5,6,No,No,Yes,4,49500
Bashundhara,Apartment,4,4,1655,3,8,No,No,Yes,17,53500
Banani,Apartment,2,2,1110,7,9,Yes,No,Yes,8,62500
Mohakhali,House,3,3,2132,1,6,No,No,Yes,16,53500
Dhanmondi,House,3,2,1882,4,5,No,Yes,Yes,2,74500
Gulshan,House,4,4,1132,5,6,Yes,No,No,5,69500
Mirpur,Apartment,3,3,1429,2,7,No,Yes,Yes,11,37500
Mohakhali,Apartment,3,4,1487,3,4,No,Yes,Yes,8,47000
Bashundhara,Apartment,3,3,1581,1,4,No,Yes,Yes,9,50000
Banani,Studio,1,1,517,6,6,No,No,No,4,27000
Dhanmondi,Apartment,4,3,1583,10,10,No,Yes,Yes,3,60000
Jatrabari,Apartment,2,1,676,4,5,No,No,No,1,13500
Badda,Apartment,4,3,1439,1,5,No,No,Yes,1,30500
Mohakhali,House,4,4,1923,7,7,No,No,Yes,1,57500
Mohakhali,Studio,1,1,525,9,9,No,Yes,No,3,20000
Dhanmondi,Studio,1,1,505,6,6,No,Yes,No,17,21000
Bashundhara,Apartment,3,2,1142,7,9,No,Yes,Yes,7,42000
Bashundhara,House,3,3,1292,1,14,No,Yes,Yes,13,46000
Banani,Apartment,4,4,1973,1,9,No,No,Yes,0,90000
Banani,Duplex,6,6,3087,9,9,No,No,Yes,10,151500
Banani,House,5,5,1066,3,6,No,Yes,No,13,57000
Mohammadpur,Apartment,2,3,952,4,12,No,No,Yes,4,29000
Gulshan,Apartment,2,2,1221,5,7,No,Yes,No,3,69000
Mohammadpur,House,4,4,1357,1,5,No,No,No,2,36500
Mirpur,Apartment,3,3,1441,4,4,No,Yes,No,3,36500
Mirpur,Apartment,3,2,1337,4,7,No,No,Yes,14,31500
Mirpur,Duplex,5,6,1996,1,7,Yes,No,Yes,4,61500
Mohammadpur,Duplex,5,6,2372,1,6,No,Yes,Yes,0,70500
Banani,Duplex,6,6,2614,4,6,No,No,Yes,14,133000
Dhanmondi,Apartment,4,3,1528,1,10,No,Yes,Yes,3,54500
Banani,Apartment,1,1,641,4,5,No,No,No,0,32000
Mirpur,Apartment,3,3,1701,7,10,No,Yes,No,15,36000
Badda,Apartment,2,2,1195,4,8,No,Yes,Yes,1,28500
Dhanmondi,Apartment,3,3,1916,5,5,No,Yes,Yes,0,80500
Mohammadpur,Apartment,3,3,1727,3,5,No,Yes,Yes,2,53000
Bashundhara,Apartment,4,4,1460,3,6,No,Yes,Yes,30,50000
Gulshan,Apartment,2,2,1301,1,7,No,No,Yes,10,59000
Badda,Apartment,3,2,998,1,8,No,No,Yes,18,21000
Bashundhara,House,3,3,1470,4,8,No,No,No,12,45000
Mohakhali,Apartment,3,4,1529,4,7,No,Yes,Yes,6,51500
Jatrabari,House,4,3,1242,3,7,Yes,Yes,Yes,0,41500
Khilgaon,Studio,1,1,414,1,7,Yes,No,Yes,2,15500
Badda,Apartment,4,3,1623,7,12,No,Yes,Yes,9,37500
Bashundhara,Studio,1,1,489,6,8,Yes,Yes,No,0,28500
Mohakhali,Duplex,6,6,2171,10,10,No,No,Yes,3,77500
Mohakhali,House,4,3,1875,3,7,Yes,Yes,Yes,5,71500
Mohakhali,Studio,1,1,317,1,9,No,No,No,0,10000
Banani,Apartment,2,3,1196,1,14,No,Yes,No,6,53500
Gulshan,Apartment,1,1,564,7,10,Yes,Yes,Yes,22,33000
Mirpur,Apartment,4,3,1508,4,4,No,No,Yes,12,36500
Mohakhali,Apartment,2,1,738,6,6,No,No,Yes,12,23000
Gulshan,Apartment,2,1,723,3,4,No,No,Yes,8,36500
Bashundhara,Apartment,2,3,947,3,5,No,No,Yes,7,32000
Jatrabari,Apartment,3,3,1232,2,14,Yes,Yes,Yes,0,40500
Mohakhali,Duplex,5,6,2490,1,6,Yes,Yes,Yes,2,109000
Mohakhali,Apartment,3,2,1151,4,5,No,Yes,Yes,3,42000
Khilgaon,House,3,3,1496,6,8,No,Yes,No,12,33500
Uttara,Studio,1,1,538,2,5,No,No,Yes,3,18000
Mohammadpur,Apartment,4,3,1425,3,4,No,No,Yes,2,40000
Mirpur,Apartment,3,2,1016,6,6,No,Yes,Yes,2,31000
Mirpur,Apartment,2,3,1236,2,5,No,Yes,Yes,9,33000
Gulshan,Apartment,2,2,869,4,10,No,No,Yes,9,45500
Uttara,Apartment,3,2,1378,2,12,No,Yes,Yes,4,47000
Mohakhali,Studio,1,1,439,7,7,No,Yes,Yes,4,17000
Gulshan,House,3,3,2246,3,6,Yes,Yes,Yes,1,147000
Mirpur,Apartment,3,3,986,1,6,No,No,Yes,3,26000
Dhanmondi,Studio,1,1,398,1,9,No,No,No,18,14500
Mirpur,Studio,1,1,497,3,6,No,No,Yes,12,13000
Dhanmondi,House,4,4,1444,6,7,No,Yes,Yes,1,61000
Banani,Apartment,4,3,1566,2,8,No,No,No,1,74000
Bashundhara,Apartment,3,4,1465,8,9,No,Yes,Yes,0,56500
Uttara,Apartment,3,3,1639,8,8,Yes,Yes,Yes,1,60000
Banani,Apartment,4,3,1554,1,6,Yes,Yes,Yes,13,73000
Bashundhara,Apartment,3,2,1257,1,6,Yes,No,Yes,5,48500
Uttara,Apartment,2,2,1064,5,9,No,Yes,Yes,0,38500
Mohammadpur,Apartment,3,2,831,9,16,No,Yes,No,0,26000
Mirpur,Apartment,3,2,909,4,6,Yes,No,Yes,1,33000
Mohakhali,Studio,1,1,432,14,14,No,No,No,8,13000
Gulshan,Studio,1,1,472,8,10,Yes,Yes,Yes,1,34500
Jatrabari,Apartment,3,4,1408,6,6,No,Yes,Yes,27,28500
Mohakhali,Apartment,3,3,1685,1,9,Yes,No,Yes,0,60000
Badda,Apartment,3,2,891,3,6,Yes,No,Yes,6,28500
Jatrabari,Apartment,3,3,1609,5,6,No,Yes,No,1,34500
Mohammadpur,Apartment,3,3,950,3,6,No,No,Yes,13,27000
Uttara,Apartment,3,2,1237,3,4,Yes,Yes,Yes,21,47500
Uttara,Studio,1,1,470,3,9,Yes,No,Yes,1,22500
Mohakhali,Studio,1,1,389,7,7,Yes,No,Yes,2,18500
Mohammadpur,Studio,1,1,383,2,4,No,No,Yes,1,13000
Uttara,Apartment,3,2,1378,9,9,No,Yes,Yes,0,43500
Bashundhara,Apartment,3,3,1101,4,14,No,No,Yes,8,41000
Gulshan,Apartment,3,3,1479,1,7,Yes,No,Yes,12,76500
Mirpur,Apartment,3,2,1021,2,4,Yes,No,Yes,4,36500
Uttara,Apartment,3,4,1446,3,5,No,No,Yes,7,47000
Bashundhara,Apartment,2,2,1256,7,7,No,No,Yes,25,33500
Gulshan,Duplex,6,6,1800,2,6,No,Yes,Yes,0,118000
Bashundhara,Apartment,3,3,879,4,6,No,No,Yes,0,35000
Mohammadpur,Apartment,3,2,1073,5,5,No,No,Yes,9,28500
Uttara,Apartment,3,2,801,2,5,No,No,Yes,3,27000
Uttara,Apartment,3,3,1625,3,7,Yes,Yes,Yes,0,69000
Dhanmondi,House,3,3,1400,4,16,No,No,Yes,4,57500
Mirpur,Apartment,4,4,1520,6,7,Yes,No,Yes,2,49000
Jatrabari,Apartment,3,3,1637,4,6,No,Yes,No,3,34000
Mohammadpur,Apartment,3,2,979,4,6,No,No,Yes,7,26000
Dhanmondi,Apartment,3,2,1159,5,5,No,Yes,Yes,0,47500
Mirpur,Apartment,3,2,895,5,7,No,No,Yes,9,23000
Dhanmondi,Apartment,3,3,1130,6,7,No,Yes,Yes,4,50000
Uttara,Apartment,2,2,1077,1,5,No,No,Yes,14,28000
Gulshan,Apartment,3,2,1307,2,6,No,Yes,Yes,1,78000
Bashundhara,House,3,3,1795,1,5,No,No,Yes,13,56000
Mohammadpur,Duplex,6,7,2044,4,4,No,No,Yes,7,62000
Mirpur,Apartment,2,2,1024,5,7,No,Yes,Yes,0,31000
Gulshan,Apartment,3,3,926,2,8,No,No,Yes,1,53500
Gulshan,Apartment,2,3,1029,3,4,No,Yes,Yes,2,58000
Dhanmondi,House,4,4,1606,8,8,No,No,Yes,0,62000
Mohammadpur,Apartment,2,1,746,4,6,No,No,Yes,2,21000
Mirpur,House,4,4,1888,4,7,No,No,Yes,8,43500
Dhanmondi,Apartment,3,3,1742,4,6,Yes,Yes,Yes,1,86000
Mirpur,House,3,3,1776,2,5,No,Yes,Yes,14,41000
Mirpur,Apartment,3,2,945,1,4,No,No,Yes,10,22000
Mohammadpur,Apartment,3,2,895,4,6,No,No,Yes,18,23000
Gulshan,Apartment,3,2,1218,6,7,No,Yes,Yes,0,66000
Mohammadpur,House,4,4,1822,2,8,No,Yes,Yes,5,56500
Uttara,Apartment,3,3,1282,1,6,No,Yes,Yes,2,45500
Bashundhara,Apartment,3,3,1165,5,6,No,No,Yes,7,43500
Uttara,Apartment,2,2,1328,1,5,No,Yes,Yes,2,41000
Dhanmondi,Apartment,4,3,1702,6,10,No,No,Yes,5,63500
Banani,Apartment,2,3,1254,2,5,Yes,Yes,Yes,0,76000
Mohakhali,Studio,1,1,498,2,6,No,Yes,Yes,2,20000
Uttara,Apartment,3,2,1387,3,10,No,Yes,Yes,3,47500
Dhanmondi,Studio,1,1,326,3,10,No,No,No,5,14000
Dhanmondi,Apartment,4,4,1483,4,5,No,No,Yes,4,60000
Mohammadpur,Apartment,2,3,1227,4,7,No,Yes,Yes,1,35500
Mirpur,House,3,3,1379,6,6,No,No,Yes,4,40000
Banani,Studio,1,1,383,4,10,Yes,No,No,1,26000
Gulshan,House,4,3,1695,9,10,No,Yes,Yes,3,96000
Mirpur,Apartment,3,3,1082,5,8,No,No,Yes,3,30000
Uttara,Apartment,4,3,1882,2,7,Yes,Yes,Yes,2,80000
Mohakhali,Apartment,4,4,1478,4,5,No,Yes,Yes,1,52500
Mohammadpur,Apartment,4,3,1548,8,8,No,Yes,Yes,4,42500
Bashundhara,Studio,1,1,377,6,7,No,Yes,No,4,17500
Badda,House,3,3,1488,4,5,Yes,Yes,Yes,11,49000
Gulshan,Apartment,3,4,1511,1,12,No,No,Yes,12,65000
Uttara,Apartment,2,2,1155,10,14,No,No,No,1,35500
Mohammadpur,Apartment,3,3,1183,5,5,No,No,Yes,18,30000
Mirpur,Apartment,2,2,1036,1,6,No,Yes,Yes,8,24500
Uttara,House,4,3,2333,4,5,No,Yes,Yes,4,69500
Jatrabari,Apartment,3,2,1153,7,7,No,Yes,Yes,5,26000
Uttara,Apartment,3,2,1342,3,4,No,No,Yes,3,41000
Mohammadpur,Apartment,3,3,1388,4,9,No,Yes,Yes,11,39000
Mohammadpur,Apartment,2,3,1058,6,6,No,Yes,Yes,0,35000
Badda,Studio,1,1,413,6,6,No,No,Yes,5,10000
Mohammadpur,Apartment,3,3,1000,2,5,No,Yes,Yes,6,32000
Gulshan,Apartment,2,2,916,7,8,No,No,Yes,5,46000
Gulshan,Apartment,3,4,1499,5,7,No,Yes,Yes,0,87500
Banani,House,4,3,1650,1,4,No,Yes,Yes,0,84000
Bashundhara,Apartment,4,3,1439,1,5,No,Yes,Yes,3,46500
Dhanmondi,Apartment,3,2,1295,5,5,No,Yes,Yes,19,51000
Dhanmondi,Apartment,4,3,1515,4,6,No,No,Yes,10,57000
Uttara,Apartment,4,4,1709,5,6,No,Yes,Yes,0,66500
Uttara,Apartment,2,2,1272,3,4,Yes,Yes,No,15,44500
Gulshan,Apartment,4,3,1531,10,16,No,Yes,Yes,2,76000
Dhanmondi,Apartment,3,2,952,3,8,No,No,Yes,1,37000
Mirpur,Studio,1,1,534,1,6,No,No,No,2,13000
Jatrabari,Apartment,2,2,1174,3,5,Yes,No,Yes,19,29000
Mohammadpur,Apartment,3,3,909,4,7,Yes,No,Yes,1,36500
Uttara,Apartment,4,4,1628,1,7,Yes,Yes,Yes,0,65500
Bashundhara,Apartment,3,3,873,1,4,No,No,Yes,12,28000
Dhanmondi,Apartment,3,2,936,5,8,Yes,No,Yes,4,48000
Banani,Apartment,3,3,1501,5,7,No,Yes,Yes,5,74000
Dhanmondi,Apartment,3,2,1153,5,5,No,No,Yes,2,48000
Uttara,Apartment,3,3,1529,4,5,No,No,Yes,1,46500
Mohammadpur,Apartment,2,2,1083,4,6,No,No,Yes,8,29000
Gulshan,Apartment,4,3,1498,1,5,No,No,No,6,78000
Mirpur,Apartment,3,2,1349,8,8,No,No,Yes,7,28000
Uttara,Apartment,4,3,1410,1,6,Yes,No,Yes,6,54000
Uttara,Apartment,3,3,947,5,9,No,No,Yes,7,30500
Dhanmondi,Apartment,3,2,1226,5,6,No,No,Yes,12,48000
Mirpur,Apartment,3,2,977,5,6,No,Yes,No,2,28500
Bashundhara,Apartment,3,2,1037,4,4,No,Yes,Yes,5,42000
Mohammadpur,Apartment,3,2,1337,7,9,No,Yes,Yes,2,41000
Mohakhali,Apartment,3,2,1230,4,6,Yes,Yes,Yes,1,53000
Mohakhali,Apartment,2,2,1093,3,6,No,Yes,Yes,24,28000
Mohammadpur,Apartment,2,2,1131,5,12,No,No,Yes,12,28000
Gulshan,Apartment,3,3,1380,3,7,Yes,Yes,Yes,15,81000
Bashundhara,House,3,2,1932,6,8,No,Yes,Yes,16,56500
Khilgaon,Studio,1,1,547,3,10,Yes,No,Yes,3,21000
Uttara,Apartment,2,1,708,2,9,Yes,No,Yes,0,31500
Badda,Apartment,2,3,1301,5,6,No,No,No,1,29500
Mohammadpur,Apartment,2,2,1376,6,6,No,Yes,Yes,10,35000
Khilgaon,Apartment,4,3,1661,4,8,No,Yes,Yes,20,34000
Mirpur,Apartment,3,2,1108,9,12,Yes,Yes,Yes,14,36000
Mohammadpur,Studio,1,1,475,2,6,No,Yes,No,1,16500
Bashundhara,Apartment,3,3,1652,2,10,Yes,Yes,Yes,8,66000
Banani,Apartment,2,1,631,6,7,No,Yes,Yes,13,32000
Jatrabari,Apartment,4,4,1576,5,8,No,Yes,Yes,3,39000
Bashundhara,Apartment,3,2,1048,5,14,Yes,Yes,Yes,5,47000
Jatrabari,Apartment,2,3,817,6,8,Yes,No,Yes,4,26500
Dhanmondi,Apartment,4,4,1454,6,9,No,Yes,No,13,58000
Bashundhara,Apartment,3,2,1213,15,16,No,No,Yes,3,43500
Uttara,Studio,1,1,371,5,9,Yes,Yes,No,17,22000
Mirpur,House,3,3,900,8,14,No,Yes,Yes,13,26000
Uttara,Apartment,2,3,982,1,5,No,Yes,No,1,31000
Khilgaon,Studio,1,1,406,3,6,No,Yes,Yes,0,14000
Uttara,Apartment,3,3,867,7,8,Yes,No,Yes,29,32500
Mirpur,House,3,3,1269,1,6,Yes,Yes,Yes,10,39500
Mirpur,Studio,1,1,422,8,10,No,No,Yes,1,11500
Mohakhali,House,5,4,1841,3,7,Yes,No,Yes,1,80000
Dhanmondi,Apartment,3,3,1080,1,9,No,Yes,No,5,44500
Mirpur,Duplex,6,7,2734,2,4,Yes,Yes,Yes,2,100000
Mohammadpur,Apartment,3,4,1515,1,6,No,Yes,Yes,1,36500
Bashundhara,Apartment,2,3,1180,2,7,No,Yes,Yes,0,44500
Bashundhara,Apartment,3,2,1323,9,14,No,Yes,Yes,0,46000
Jatrabari,Studio,1,1,427,8,9,No,No,No,0,9000
